rxnid	mass balance	charge balance	composite
ALCD24xi	-0.0	0.0	False
ALCD24xim	-0.0	0.0	False
3MBALDx	0.0	0.0	False
VPAMTr	0.0	0.0	False
VALTAim	0.0	0.0	False
VALTA	0.0	0.0	False
OIVD2m	0.0	0.0	False
ACOAD9m	0.0	0.0	False
ECOAH2cm	0.0	0.0	False
HIBHr	0.0	0.0	False
HIBDm	0.0	0.0	False
3HMPDDH	-0.0	0.0	False
3HMPRDH	-0.0	0.0	False
AIBTT	0.0	0.0	False
3MOBDC	-0.0	0.0	False
3HIVc	-0.0	0.0	False
ALCD23yi	0.0	0.0	False
ALCD23xi	-0.0	0.0	False
ALCD23xim	-0.0	0.0	False
2MPPALDH	0.0	0.0	False
HCITSm	0.0	0.0	False
HCITS	0.0	0.0	False
HACNDm	-0.0	0.0	False
HACNHm	0.0	0.0	False
HICITDHm	0.0	0.0	False
AATA	0.0	0.0	False
AASAD1	0.0	0.0	False
SACCD1	0.0	0.0	False
SACCD2	0.0	0.0	False
AATAr	-0.0	0.0	False
LYSACCOAT	0.0	0.0	False
N6ACLYST	0.0	0.0	False
2KACAMCAPDHx	0.0	0.0	False
5ACAMIDPENTH	0.0	0.0	False
APTNAT	0.0	0.0	False
OXPTNDH	0.0	0.0	False
GLCOASm	0.0	0.0	False
SUCCOAGLUTART	-0.0	0.0	False
SUCCOA3H3MGLUT	-0.0	0.0	False
GLUTCOADHm	0.0	0.0	False
ECOAH1m	0.0	0.0	False
HACD1m	0.0	0.0	False
BUTDH	0.0	0.0	False
CROTSUCCOA	-0.0	0.0	False
CROTACCOA	0.0	0.0	False
GLU5K	0.0	0.0	False
G5SD	0.0	0.0	False
G5SADs	0.0	0.0	False
G5SADrm	0.0	0.0	False
P5CR	0.0	0.0	False
PROD2m	0.0	0.0	False
r0074	0.0	0.0	False
PHCDm	0.0	0.0	False
EHGLAT	0.0	0.0	False
EHGLATm	0.0	0.0	False
DDPGA	0.0	0.0	False
ASPTA	0.0	0.0	False
ASPTAm	0.0	0.0	False
ASPTAp	0.0	0.0	False
ASNS1	0.0	0.0	False
ASNN	0.0	0.0	False
ACGSm	0.0	0.0	False
ACGKm	0.0	0.0	False
AGPRim	0.0	0.0	False
ACOTAim	0.0	0.0	False
ORNTACim	0.0	0.0	False
CBPS	0.0	0.0	False
OCBT	0.0	0.0	False
ARGSS	0.0	0.0	False
ARGSL	0.0	0.0	False
ARGN	0.0	0.0	False
ORNTA	-0.0	0.0	False
ASPK	0.0	0.0	False
ASAD	-0.0	0.0	False
HSDy	0.0	0.0	False
HSK	0.0	0.0	False
THRS	0.0	0.0	False
THRD_Lm	0.0	0.0	False
ACHBSm	0.0	0.0	False
KARA2im	0.0	0.0	False
DHAD2m	0.0	0.0	False
ILETAm	0.0	0.0	False
OBDHm	0.0	0.0	False
ATHRDHr	-0.0	0.0	False
THRDDHy	-0.0	0.0	False
AOBUTDs	0.0	0.0	False
THRA	0.0	0.0	False
THRA2	0.0	0.0	False
ILETA	0.0	0.0	False
OIVD3	-0.0	0.0	False
ACOADH1	0.0	0.0	False
ECOAH9m	0.0	0.0	False
HACD9	-0.0	0.0	False
MACCOAT	0.0	0.0	False
3MOPDC	0.0	0.0	False
ALCD22yi	0.0	0.0	False
ALCD22xi	-0.0	0.0	False
ALCD22xim	-0.0	0.0	False
2MBALDH	0.0	0.0	False
PGCD	0.0	0.0	False
PSERT	0.0	0.0	False
PSP_L	0.0	0.0	False
SAL_m	0.0	0.0	False
LSERDHy	0.0	0.0	False
SERDDHy	0.0	0.0	False
HPYRRy	0.0	0.0	False
GLYCK2	0.0	0.0	False
2PGH	0.0	0.0	False
GHMT2rm	-0.0	0.0	False
GHMT2r	-0.0	0.0	False
AGTi	0.0	0.0	False
GCC2am	N/A	0.0	False
GCC2bim	N/A	0.0	False
GCC2cm	0.0	0.0	False
ATPPRT	0.0	0.0	False
PRATPP	0.0	0.0	False
PRAMPC	0.0	0.0	False
PRMICI	0.0	0.0	False
IG3PS	-0.0	0.0	False
IGPDH	0.0	0.0	False
HSTPT	0.0	0.0	False
HISTP	0.0	0.0	False
HISTD	0.0	0.0	False
HISLAT	-0.0	0.0	False
HISAMOX	0.0	0.0	False
IMZACALDDH	0.0	0.0	False
DDPA	0.0	0.0	False
DHQS	0.0	0.0	False
QUINDH	0.0	0.0	False
DHQTi	-0.0	0.0	False
SHK3Dr	0.0	0.0	False
SHKK	0.0	0.0	False
PSCVT	0.0	0.0	False
CHORS	-0.0	0.0	False
CHORM	0.0	0.0	False
PPNDH	0.0	0.0	False
PHETA1	0.0	0.0	False
PHETA1r	0.0	0.0	False
PHETA2	0.0	0.0	False
PPOR	0.0	0.0	False
2HPLACMONOXYy	0.0	0.0	False
PHYCBOXL	0.0	0.0	False
PEAMNO	0.0	0.0	False
PHELYS	0.0	0.0	False
PACMONOXYy	0.0	0.0	False
PACCOAL	0.0	0.0	False
PPYRDC	0.0	0.0	False
PLDHy	0.0	0.0	False
PHLAC	0.0	0.0	False
ALCD25yi	0.0	0.0	False
ALCD25xi	0.0	0.0	False
ALCD25xim	0.0	0.0	False
